experiment,sample,length_in,area_in.2
exp 1,79,10.87,0.61
exp 1,79,10.18,0.593
exp 1,80,10.88,0.579
exp 1,80,46.26,1.991
exp 1,80,14.93,0.597
exp 1,80,5.55,0.25
exp 1,80,13.22,0.694
exp 1,81,4.84,0.299
exp 1,81,3.95,0.235
exp 1,81,10.79,0.625
exp 1,81,5.54,0.355
exp 1,81,6.92,0.364
exp 1,81,4.62,0.378
exp 1,82,55.66,2.182
exp 1,82,53.03,2.385
exp 1,82,4.43,0.197
exp 1,82,2.56,0.053
exp 1,82,38.92,2.153
exp 1,82,40.97,1.767
exp 1,82,45.6,2.168
exp 1,82,71.98,3.052
exp 1,83,0.83,0.076
exp 1,83,14.45,0.434
exp 1,83,7.49,0.316
exp 1,84,31.6,1.539
exp 1,84,29.95,1.216
exp 1,84,65.05,2.911
exp 1,84,65.96,2.712
exp 1,84,36.16,1.589
exp 1,84,23.84,0.881
exp 1,84,9.14,0.662
exp 1,84,22.2,1.037
exp 1,85,14.29,0.85
exp 1,85,6.13,0.359
exp 1,85,19.92,0.883
exp 1,85,69.78,3.471
exp 1,85,62.37,2.761
exp 1,85,56.97,2.636
exp 1,85,63.82,2.983
exp 1,86,3.78,0.305
exp 1,86,5.36,0.206
exp 1,86,9.37,0.561
exp 1,86,27.24,1.655
exp 1,86,20.23,1.108
exp 1,86,17.12,1.362
exp 1,86,2.5,0.212
exp 1,86,10.23,0.528
exp 1,87,6.68,0.425
exp 1,87,40.17,1.832
exp 1,87,3.56,0.37
exp 1,87,43,2.407
exp 1,87,32.09,1.412
exp 1,87,62.01,2.972
exp 1,87,39.03,2.673
exp 1,88,27.28,1.577
exp 1,88,17.77,1.141
exp 1,88,1.64,0.11
exp 1,88,21.54,1.313
exp 1,89,9.26,0.374
exp 1,89,7.87,0.346
exp 1,89,10.24,0.374
exp 1,89,8.09,0.202
exp 1,89,7.25,0.179
exp 1,89,4.93,0.289
exp 1,90,43.86,1.614
exp 1,90,40.06,1.727
exp 1,90,8.26,0.385
exp 1,90,2,0.101
exp 1,91,10.74,0.267
exp 1,91,12.9,0.329
exp 1,91,4.25,0.11
